Date/Time CET/CEST;Date/Time UTC;MBA;Consumption Total [MWh];Metered [MWh];Profiled [MWh];Flex-settled [MWh]
01.01.2024/00:00;31.12.2023/23:00;SE1, SE2, SE3, SE4;-16120,068319;-10628,315811;-5491,752508;0
01.01.2024/01:00;01.01.2024/00:00;SE1, SE2, SE3, SE4;-16005,172463;-10606,106899;-5399,065564;0
01.01.2024/02:00;01.01.2024/01:00;SE1, SE2, SE3, SE4;-15794,362517;-10502,20358;-5292,158937;0
01.01.2024/03:00;01.01.2024/02:00;SE1, SE2, SE3, SE4;-15645,515831;-10456,22736;-5189,288471;0
01.01.2024/04:00;01.01.2024/03:00;SE1, SE2, SE3, SE4;-15663,321538;-10518,386302;-5144,935236;0
01.01.2024/05:00;01.01.2024/04:00;SE1, SE2, SE3, SE4;-15778,216845;-10610,883919;-5167,332926;0
01.01.2024/06:00;01.01.2024/05:00;SE1, SE2, SE3, SE4;-16074,553697;-10849,579413;-5224,974284;0
01.01.2024/07:00;01.01.2024/06:00;SE1, SE2, SE3, SE4;-16348,523447;-11037,666243;-5310,857204;0
01.01.2024/08:00;01.01.2024/07:00;SE1, SE2, SE3, SE4;-16613,65915;-11175,567825;-5438,091325;0
01.01.2024/09:00;01.01.2024/08:00;SE1, SE2, SE3, SE4;-16904,15545;-11294,806337;-5609,349113;0
01.01.2024/10:00;01.01.2024/09:00;SE1, SE2, SE3, SE4;-17217,865297;-11339,244868;-5878,620429;0
01.01.2024/11:00;01.01.2024/10:00;SE1, SE2, SE3, SE4;-17626,903907;-11524,560267;-6102,34364;0
01.01.2024/12:00;01.01.2024/11:00;SE1, SE2, SE3, SE4;-17895,870296;-11647,420171;-6248,450125;0
01.01.2024/13:00;01.01.2024/12:00;SE1, SE2, SE3, SE4;-18041,351975;-11742,655656;-6298,696319;0
01.01.2024/14:00;01.01.2024/13:00;SE1, SE2, SE3, SE4;-18387,950478;-11978,536018;-6409,41446;0
01.01.2024/15:00;01.01.2024/14:00;SE1, SE2, SE3, SE4;-18873,637207;-12223,42684;-6650,210367;0
01.01.2024/16:00;01.01.2024/15:00;SE1, SE2, SE3, SE4;-19213,26432;-12289,531661;-6923,732659;0
01.01.2024/17:00;01.01.2024/16:00;SE1, SE2, SE3, SE4;-19254,452023;-12215,34994;-7039,102083;0
01.01.2024/18:00;01.01.2024/17:00;SE1, SE2, SE3, SE4;-19017,468082;-12024,671238;-6992,796844;0
01.01.2024/19:00;01.01.2024/18:00;SE1, SE2, SE3, SE4;-18695,171104;-11860,966539;-6834,204565;0
01.01.2024/20:00;01.01.2024/19:00;SE1, SE2, SE3, SE4;-18349,410726;-11725,836203;-6623,574523;0
01.01.2024/21:00;01.01.2024/20:00;SE1, SE2, SE3, SE4;-17917,262706;-11523,981328;-6393,281378;0
01.01.2024/22:00;01.01.2024/21:00;SE1, SE2, SE3, SE4;-17444,856025;-11294,234392;-6150,621633;0
01.01.2024/23:00;01.01.2024/22:00;SE1, SE2, SE3, SE4;-17072,049438;-11199,568128;-5872,48131;0
02.01.2024/00:00;01.01.2024/23:00;SE1, SE2, SE3, SE4;-16801,583901;-11094,213401;-5707,3705;0
02.01.2024/01:00;02.01.2024/00:00;SE1, SE2, SE3, SE4;-16713,049914;-11100,76869;-5612,281224;0
02.01.2024/02:00;02.01.2024/01:00;SE1, SE2, SE3, SE4;-16699,152297;-11097,958754;-5601,193543;0
