Date/Time SNT;MBA;Load Profile [MWh]
01.01.2024/00:00;SE1, SE2, SE3, SE4;-5491,752
01.01.2024/01:00;SE1, SE2, SE3, SE4;-5399,066
01.01.2024/02:00;SE1, SE2, SE3, SE4;-5292,159
01.01.2024/03:00;SE1, SE2, SE3, SE4;-5189,288
01.01.2024/04:00;SE1, SE2, SE3, SE4;-5144,935
01.01.2024/05:00;SE1, SE2, SE3, SE4;-5167,333
01.01.2024/06:00;SE1, SE2, SE3, SE4;-5224,974
01.01.2024/07:00;SE1, SE2, SE3, SE4;-5310,857
01.01.2024/08:00;SE1, SE2, SE3, SE4;-5438,091
01.01.2024/09:00;SE1, SE2, SE3, SE4;-5609,349
01.01.2024/10:00;SE1, SE2, SE3, SE4;-5878,62
01.01.2024/11:00;SE1, SE2, SE3, SE4;-6102,344
01.01.2024/12:00;SE1, SE2, SE3, SE4;-6248,45
01.01.2024/13:00;SE1, SE2, SE3, SE4;-6298,696
01.01.2024/14:00;SE1, SE2, SE3, SE4;-6409,414
01.01.2024/15:00;SE1, SE2, SE3, SE4;-6650,21
01.01.2024/16:00;SE1, SE2, SE3, SE4;-6923,733
01.01.2024/17:00;SE1, SE2, SE3, SE4;-7039,102
01.01.2024/18:00;SE1, SE2, SE3, SE4;-6992,797
01.01.2024/19:00;SE1, SE2, SE3, SE4;-6834,205
01.01.2024/20:00;SE1, SE2, SE3, SE4;-6623,575
01.01.2024/21:00;SE1, SE2, SE3, SE4;-6393,281
01.01.2024/22:00;SE1, SE2, SE3, SE4;-6150,622
01.01.2024/23:00;SE1, SE2, SE3, SE4;-5872,481
02.01.2024/00:00;SE1, SE2, SE3, SE4;-5707,37
02.01.2024/01:00;SE1, SE2, SE3, SE4;-5612,281
02.01.2024/02:00;SE1, SE2, SE3, SE4;-5601,193
02.01.2024/03:00;SE1, SE2, SE3, SE4;-5623,982
02.01.2024/04:00;SE1, SE2, SE3, SE4;-5705,805
02.01.2024/05:00;SE1, SE2, SE3, SE4;-5894,054
02.01.2024/06:00;SE1, SE2, SE3, SE4;-6141,581
02.01.2024/07:00;SE1, SE2, SE3, SE4;-6398,851
02.01.2024/08:00;SE1, SE2, SE3, SE4;-6641,214
02.01.2024/09:00;SE1, SE2, SE3, SE4;-6781,654
02.01.2024/10:00;SE1, SE2, SE3, SE4;-6908,117
02.01.2024/11:00;SE1, SE2, SE3, SE4;-7005,262
02.01.2024/12:00;SE1, SE2, SE3, SE4;-7083,508
02.01.2024/13:00;SE1, SE2, SE3, SE4;-7088,846
02.01.2024/14:00;SE1, SE2, SE3, SE4;-7156,883
02.01.2024/15:00;SE1, SE2, SE3, SE4;-7408,31
02.01.2024/16:00;SE1, SE2, SE3, SE4;-7770,167
02.01.2024/17:00;SE1, SE2, SE3, SE4;-8010,045
02.01.2024/18:00;SE1, SE2, SE3, SE4;-7962,46
02.01.2024/19:00;SE1, SE2, SE3, SE4;-7778,409
02.01.2024/20:00;SE1, SE2, SE3, SE4;-7521,834
02.01.2024/21:00;SE1, SE2, SE3, SE4;-7256,57
02.01.2024/22:00;SE1, SE2, SE3, SE4;-6959,599
02.01.2024/23:00;SE1, SE2, SE3, SE4;-6655,02
03.01.2024/00:00;SE1, SE2, SE3, SE4;-6448,998
03.01.2024/01:00;SE1, SE2, SE3, SE4;-6330,636
03.01.2024/02:00;SE1, SE2, SE3, SE4;-6278,947
03.01.2024/03:00;SE1, SE2, SE3, SE4;-6285,482
03.01.2024/04:00;SE1, SE2, SE3, SE4;-6350,809
03.01.2024/05:00;SE1, SE2, SE3, SE4;-6495,954
03.01.2024/06:00;SE1, SE2, SE3, SE4;-6734,889
03.01.2024/07:00;SE1, SE2, SE3, SE4;-6991,437
03.01.2024/08:00;SE1, SE2, SE3, SE4;-7186,213
03.01.2024/09:00;SE1, SE2, SE3, SE4;-7286,746
03.01.2024/10:00;SE1, SE2, SE3, SE4;-7407,599
03.01.2024/11:00;SE1, SE2, SE3, SE4;-7499,318
03.01.2024/12:00;SE1, SE2, SE3, SE4;-7572,043
03.01.2024/13:00;SE1, SE2, SE3, SE4;-7547,803
03.01.2024/14:00;SE1, SE2, SE3, SE4;-7598,073
03.01.2024/15:00;SE1, SE2, SE3, SE4;-7826,756
03.01.2024/16:00;SE1, SE2, SE3, SE4;-8199,666
03.01.2024/17:00;SE1, SE2, SE3, SE4;-8427,205
03.01.2024/18:00;SE1, SE2, SE3, SE4;-8362,457
