Date/Time CET/CEST;Date/Time UTC;MBA;Production Total [MWh];Hydro [MWh];Nuclear [MWh];Solar [MWh];Thermal [MWh];Wind Onshore [MWh];Wind Offshore [MWh];Energy Storage [MWh];Other [MWh]
01.01.2024/00:00;31.12.2023/23:00;SE1, SE2, SE3, SE4;17194,164211;5881,938064;6300,99;0,939435;809,767436;4172,928605;0;0;27,600671
01.01.2024/01:00;01.01.2024/00:00;SE1, SE2, SE3, SE4;16892,208784;5607,845686;6302,19;0,939513;802,489977;4149,314518;0;0;29,42909
01.01.2024/02:00;01.01.2024/01:00;SE1, SE2, SE3, SE4;16664,7559;5383,490754;6301,92;0,971884;795,055549;4153,782483;0;0;29,53523
01.01.2024/03:00;01.01.2024/02:00;SE1, SE2, SE3, SE4;16594,797267;5281,014751;6302,21;0,919221;808,631964;4172,891047;0;0;29,130284
01.01.2024/04:00;01.01.2024/03:00;SE1, SE2, SE3, SE4;16705,257082;5362,25403;6302,8;0,981863;816,435979;4192,743722;0;0;30,041488
01.01.2024/05:00;01.01.2024/04:00;SE1, SE2, SE3, SE4;16513,952671;5180,967912;6303,36;1,06274;817,053001;4180,855589;0;0;30,653429
01.01.2024/06:00;01.01.2024/05:00;SE1, SE2, SE3, SE4;16615,255966;5275,052793;6302,91;1,269429;844,175739;4162,167925;0;0;29,68008
01.01.2024/07:00;01.01.2024/06:00;SE1, SE2, SE3, SE4;16758,483681;5461,486401;6302,4;1,623643;859,67488;4105,443914;0;0;27,854843
01.01.2024/08:00;01.01.2024/07:00;SE1, SE2, SE3, SE4;17165,761865;5844,045323;6302,38;1,734372;884,426326;4106,216651;0;0;26,959193
01.01.2024/09:00;01.01.2024/08:00;SE1, SE2, SE3, SE4;17645,425013;6266,431905;6302,59;2,888987;919,478013;4128,660006;0;0;25,376102
01.01.2024/10:00;01.01.2024/09:00;SE1, SE2, SE3, SE4;18572,680936;7161,105665;6304,53;3,778149;973,963175;4105,817041;0;0;23,486906
01.01.2024/11:00;01.01.2024/10:00;SE1, SE2, SE3, SE4;19569,293487;8125,082221;6305,08;5,024855;996,703113;4109,951687;0;0;27,451611
01.01.2024/12:00;01.01.2024/11:00;SE1, SE2, SE3, SE4;19950,02392;8557,148514;6302,57;5,76996;1013,47753;4045,780375;0;0;25,277541
01.01.2024/13:00;01.01.2024/12:00;SE1, SE2, SE3, SE4;20456,147911;9047,149812;6302,24;4,174778;1042,670288;4035,18805;0;0;24,724983
01.01.2024/14:00;01.01.2024/13:00;SE1, SE2, SE3, SE4;21272,816335;9783,991241;6303,01;2,541854;1050,969592;4105,94952;0;0;26,354128
01.01.2024/15:00;01.01.2024/14:00;SE1, SE2, SE3, SE4;22201,669286;10664,783602;6304,26;1,356323;1075,019585;4133,415932;0;0;22,833844
01.01.2024/16:00;01.01.2024/15:00;SE1, SE2, SE3, SE4;22629,892713;10934,93345;6304,33;1,384589;1088,193426;4277,031859;0;0;24,019389
01.01.2024/17:00;01.01.2024/16:00;SE1, SE2, SE3, SE4;22716,639743;11003,457;6303,53;1,463094;1100,648177;4284,163828;0;0;23,377644
01.01.2024/18:00;01.01.2024/17:00;SE1, SE2, SE3, SE4;22507,29873;10855,731192;6304,47;1,249797;1090,114642;4234,858863;0;0;20,874236
01.01.2024/19:00;01.01.2024/18:00;SE1, SE2, SE3, SE4;22196,933032;10550,199028;6304,34;1,072526;1080,149162;4242,738266;0;0;18,43405
01.01.2024/20:00;01.01.2024/19:00;SE1, SE2, SE3, SE4;21700,53467;10028,951346;6304,79;0,982794;1066,947068;4275,744323;0;0;23,119139
01.01.2024/21:00;01.01.2024/20:00;SE1, SE2, SE3, SE4;20773,180318;9111,582215;6304,68;1,34709;1044,643928;4288,502457;0;0;22,424628
01.01.2024/22:00;01.01.2024/21:00;SE1, SE2, SE3, SE4;20531,766481;8882,439976;6302,93;0,954202;1006,33757;4317,145499;0;0;21,959234
01.01.2024/23:00;01.01.2024/22:00;SE1, SE2, SE3, SE4;18825,420291;7263,899027;6303,78;0,987045;959,287271;4274,145264;0;0;23,321684
02.01.2024/00:00;01.01.2024/23:00;SE1, SE2, SE3, SE4;18054,422432;6572,383461;6304,46;1,060521;923,645592;4227,359215;0;0;25,513643
02.01.2024/01:00;02.01.2024/00:00;SE1, SE2, SE3, SE4;17882,357134;6339,076762;6305,54;0,914506;923,534304;4286,774925;0;0;26,516637
02.01.2024/02:00;02.01.2024/01:00;SE1, SE2, SE3, SE4;17822,984758;6195,395016;6304,38;0,906629;902,04376;4395,480103;0;0;24,77925
02.01.2024/03:00;02.01.2024/02:00;SE1, SE2, SE3, SE4;17877,62812;6145,086752;6304,06;0,911542;923,292005;4478,232695;0;0;26,045126
02.01.2024/04:00;02.01.2024/03:00;SE1, SE2, SE3, SE4;18208,647197;6514,008996;6302,23;0,977611;935,58081;4430,315401;0;0;25,534379
02.01.2024/05:00;02.01.2024/04:00;SE1, SE2, SE3, SE4;18988,909587;7302,720957;6304,63;1,079716;942,699322;4414,634983;0;0;23,144609
02.01.2024/06:00;02.01.2024/05:00;SE1, SE2, SE3, SE4;20804,803203;9047,92607;6304,29;1,285679;977,244259;4451,008401;0;0;23,048794
02.01.2024/07:00;02.01.2024/06:00;SE1, SE2, SE3, SE4;22658,208508;10745,685761;6304,47;1,582154;1044,073808;4541,88116;0;0;20,515625
02.01.2024/08:00;02.01.2024/07:00;SE1, SE2, SE3, SE4;23251,786548;11292,157374;6303,23;1,627781;1063,687602;4569,757313;0;0;21,326478
02.01.2024/09:00;02.01.2024/08:00;SE1, SE2, SE3, SE4;23662,243631;11635,071904;6306,8;2,336809;1059,897995;4637,21237;0;0;20,924553
02.01.2024/10:00;02.01.2024/09:00;SE1, SE2, SE3, SE4;24119,004912;12132,449345;6305,58;4,05721;1044,595176;4612,516875;0;0;19,806306
02.01.2024/11:00;02.01.2024/10:00;SE1, SE2, SE3, SE4;24417,930549;12377,185952;6305,96;5,525719;1043,472511;4666,70609;0;0;19,080277
02.01.2024/12:00;02.01.2024/11:00;SE1, SE2, SE3, SE4;24545,196873;12454,202243;6305,39;5,802383;1046,922999;4713,23242;0;0;19,646828
02.01.2024/13:00;02.01.2024/12:00;SE1, SE2, SE3, SE4;24422,485932;12291,232376;6305,82;4,979671;1048,688642;4748,739704;0;0;23,025539
02.01.2024/14:00;02.01.2024/13:00;SE1, SE2, SE3, SE4;24574,272386;12352,156664;6305,04;2,757612;1066,589759;4824,008436;0;0;23,719915
02.01.2024/15:00;02.01.2024/14:00;SE1, SE2, SE3, SE4;24722,115738;12319,573095;6305,18;1,522689;1070,638561;4998,316077;0;0;26,885316
02.01.2024/16:00;02.01.2024/15:00;SE1, SE2, SE3, SE4;25006,2921;12451,779662;6304,45;1,528889;1039,927566;5182,243765;0;0;26,362218
02.01.2024/17:00;02.01.2024/16:00;SE1, SE2, SE3, SE4;25045,359825;12478,477604;6303,5;1,455189;984,573589;5251,137686;0;0;26,215757
02.01.2024/18:00;02.01.2024/17:00;SE1, SE2, SE3, SE4;24441,42534;11823,401302;6304,82;1,176225;951,931242;5333,754008;0;0;26,342563
02.01.2024/19:00;02.01.2024/18:00;SE1, SE2, SE3, SE4;24145,464715;11396,762245;6304,74;1,063781;947,10395;5466,637783;0;0;29,156956
02.01.2024/20:00;02.01.2024/19:00;SE1, SE2, SE3, SE4;24102,320707;11233,31775;6303,49;1,004408;926,355796;5606,606455;0;0;31,546298
02.01.2024/21:00;02.01.2024/20:00;SE1, SE2, SE3, SE4;23022,82606;10192,068296;6304,2;1,375914;892,724921;5599,590368;0;0;32,866561
02.01.2024/22:00;02.01.2024/21:00;SE1, SE2, SE3, SE4;22060,505996;9153,517991;6303,99;0,944347;845,632595;5724,119966;0;0;32,301097
02.01.2024/23:00;02.01.2024/22:00;SE1, SE2, SE3, SE4;21077,63791;8169,282338;6304,36;0,999679;798,886658;5772,300905;0;0;31,80833
03.01.2024/00:00;02.01.2024/23:00;SE1, SE2, SE3, SE4;21055,335588;8071,934811;6304,78;4,796581;744,651283;5898,965285;0;0;30,207628
03.01.2024/01:00;03.01.2024/00:00;SE1, SE2, SE3, SE4;20365,248442;7398,736774;6305,02;4,798315;714,308514;5911,80906;0;0;30,575779
03.01.2024/02:00;03.01.2024/01:00;SE1, SE2, SE3, SE4;19907,049599;7126,853914;6305,85;4,807313;700,948209;5737,643351;0;0;30,946812
03.01.2024/03:00;03.01.2024/02:00;SE1, SE2, SE3, SE4;19604,201128;7020,503525;6305,62;4,841775;688,425712;5553,838055;0;0;30,972061
03.01.2024/04:00;03.01.2024/03:00;SE1, SE2, SE3, SE4;19844,971795;7333,367066;6304,6;4,899101;697,666124;5474,561801;0;0;29,877703
03.01.2024/05:00;03.01.2024/04:00;SE1, SE2, SE3, SE4;20872,422419;8283,701109;6305,06;4,972742;749,777791;5500,914446;0;0;27,996331
03.01.2024/06:00;03.01.2024/05:00;SE1, SE2, SE3, SE4;22007,633866;9314,773342;6302,63;5,196395;801,710008;5558,561786;0;0;24,762335
03.01.2024/07:00;03.01.2024/06:00;SE1, SE2, SE3, SE4;23390,706171;10650,836521;6303,45;5,412266;840,025066;5565,572264;0;0;25,410054
03.01.2024/08:00;03.01.2024/07:00;SE1, SE2, SE3, SE4;24223,338288;11438,769044;6302,64;5,530903;884,792289;5565,005537;0;0;26,600515
03.01.2024/09:00;03.01.2024/08:00;SE1, SE2, SE3, SE4;24471,948086;11710,710234;6303,97;6,473891;881,389034;5533,445804;0;0;35,959123
03.01.2024/10:00;03.01.2024/09:00;SE1, SE2, SE3, SE4;24545,560765;11768,58125;6303,45;9,710563;837,08454;5602,917047;0;0;23,817365
03.01.2024/11:00;03.01.2024/10:00;SE1, SE2, SE3, SE4;24497,048042;11712,554136;6302,99;11,445816;823,437663;5617,749662;0;0;28,870765
03.01.2024/12:00;03.01.2024/11:00;SE1, SE2, SE3, SE4;24585,267507;11866,016133;6303,06;10,73184;831,079996;5547,42627;0;0;26,953268
03.01.2024/13:00;03.01.2024/12:00;SE1, SE2, SE3, SE4;24549,664825;11890,628379;6303,97;8,946327;843,277372;5473,213524;0;0;29,629223
03.01.2024/14:00;03.01.2024/13:00;SE1, SE2, SE3, SE4;24854,360022;12175,377756;6305,15;6,823378;864,245742;5474,21625;0;0;28,546896
03.01.2024/15:00;03.01.2024/14:00;SE1, SE2, SE3, SE4;24890,645309;12191,696493;6306,03;5,345591;838,825833;5520,977699;0;0;27,769693
03.01.2024/16:00;03.01.2024/15:00;SE1, SE2, SE3, SE4;25162,465364;12484,375125;6305,33;1,680713;864,199816;5476,963193;0;0;29,916517
03.01.2024/17:00;03.01.2024/16:00;SE1, SE2, SE3, SE4;25410,808901;12723,9813;6307,79;1,857198;875,428188;5469,898128;0;0;31,854087
03.01.2024/18:00;03.01.2024/17:00;SE1, SE2, SE3, SE4;25358,706326;12659,414533;6307,23;1,501235;856,654581;5500,804201;0;0;33,101776
03.01.2024/19:00;03.01.2024/18:00;SE1, SE2, SE3, SE4;25230,792576;12582,745134;6306,19;1,245467;838,079905;5469,473809;0;0;33,058261
03.01.2024/20:00;03.01.2024/19:00;SE1, SE2, SE3, SE4;24812,764752;12251,030802;6305,9;1,148408;834,596316;5386,798176;0;0;33,29105
03.01.2024/21:00;03.01.2024/20:00;SE1, SE2, SE3, SE4;24343,543259;11719,480668;6305,42;1,468708;836,687953;5446,808574;0;0;33,677356
03.01.2024/22:00;03.01.2024/21:00;SE1, SE2, SE3, SE4;24058,699634;11439,429441;6307,43;1,080189;818,551139;5459,091035;0;0;33,11783
03.01.2024/23:00;03.01.2024/22:00;SE1, SE2, SE3, SE4;23396,762164;10780,245841;6307;1,114855;804,042003;5473,287787;0;0;31,071678
04.01.2024/00:00;03.01.2024/23:00;SE1, SE2, SE3, SE4;22178,943204;9786,287684;6306,3;1,019132;756,536104;5292,405331;0;0;36,394953
04.01.2024/01:00;04.01.2024/00:00;SE1, SE2, SE3, SE4;21206,581109;8887,563571;6307,11;0,992138;723,387586;5252,246746;0;0;35,281068
04.01.2024/02:00;04.01.2024/01:00;SE1, SE2, SE3, SE4;20976,646675;8872,212269;6224,99;0,986324;726,077161;5119,995137;0;0;32,385784
04.01.2024/03:00;04.01.2024/02:00;SE1, SE2, SE3, SE4;20916,886224;8918,112703;6044,61;1,001236;753,258829;5166,1408;0;0;33,762656
04.01.2024/04:00;04.01.2024/03:00;SE1, SE2, SE3, SE4;20914,110169;9091,715932;5860,75;1,093755;768,098489;5162,977587;0;0;29,474406
04.01.2024/05:00;04.01.2024/04:00;SE1, SE2, SE3, SE4;21078,443785;9375,830949;5769,57;1,169509;787,794453;5119,325354;0;0;24,75352
